"fund","weight in portfolio","portfolio value","reporting date","bond","weight","country","issuer","maturity","rating"
"Advisory Research MLP & Energy Infras I",17.11,429288297,"30/11/2015","Williams Cos Inc Del 8.75%",1.55,"USA","WILLIAMS COS","15/3/2032","BB1"
"Advisory Research MLP & Energy Infras I",17.11,429288297,"30/11/2015","Dcp Midstream 144A 6.75%",1.54,"USA","DCP MIDSTREAM","15/9/2037","BB2"
"Advisory Research MLP & Energy Infras I",17.11,429288297,"30/11/2015","Qep Res 6.875%",1.07,"USA","QEP RESOURCES","1/3/2021","BB3"
"Advisory Research MLP & Energy Infras I",17.11,429288297,"30/11/2015","Oneok Inc New 4.25%",0.85,"USA","ONEOK INC","1/2/2022","BB1"
"Advisory Research MLP & Energy Infras I",17.11,429288297,"30/11/2015","Antero Res Fin 6%",0.83,"USA","ANTERO RESOURCES","1/12/2020","BB3"
"Advisory Research MLP & Energy Infras I",17.11,429288297,"30/11/2015","Rockies Express Pipe 144A 6.875%",0.76,"USA","ROCKIES EXPRESS","15/4/2040","BB2"
"Advisory Research MLP & Energy Infras I",17.11,429288297,"30/11/2015","Pbf Hldg Co Llc / Pbf Fin 144A 7%",0.75,"USA","PBF HOLDING CO","15/11/2023","BB2"
"Advisory Research MLP & Energy Infras I",17.11,429288297,"30/11/2015","Antero Res 5.125%",0.66,"USA","ANTERO RESOURCES","1/12/2022","BB3"
"Advisory Research MLP & Energy Infras I",17.11,429288297,"30/11/2015","Rockies Express Pipe 144A 6.85%",0.64,"USA","ROCKIES EXPRESS","15/7/2018","BB2"
"Advisory Research MLP & Energy Infras I",17.11,429288297,"30/11/2015","Range Res 5%",0.55,"USA","RANGE RESOURCES","15/3/2023","BB3"
"Advisory Research MLP & Energy Infras I",17.11,429288297,"30/11/2015","Tesoro 5.375%",0.28,"USA","TESORO CORP","1/10/2022","BB2"
"Advisory Research MLP & Energy Infras I",17.11,429288297,"30/11/2015","Denbury Res 6.375%",0.22,"USA","DENBURY RESOURCE","15/8/2021","CCC2"
"Advisory Research MLP & Energy Infras I",17.11,429288297,"30/11/2015","Duke Engy Field Svcs 8.125%",0.22,"USA","DUKE ENERGY FIEL","16/8/2030","BB2"
"Advisory Research MLP & Energy Infras I",17.11,429288297,"30/11/2015","Range Res 5.75%",0.15,"USA","RANGE RESOURCES","1/6/2021","BB3"
"Advisory Research MLP & Energy Infras I",17.11,429288297,"30/11/2015","Questar Mkt Res 6.8%",0.05,"USA","QUESTAR MARKET","1/4/2018","BB3"
"AllianzGI High Yield Bond Institutional",9.56,300146639,"31/12/2015","Calumet Specialty Prods Partne 6.5%",1.04,"USA","CALUMET SPECIAL","15/4/2021","B2"
"AllianzGI High Yield Bond Institutional",9.56,300146639,"31/12/2015","Sunoco Lp/Sunoco Fin 144A 6.375%",0.96,"USA","SUNOCO LP/FIN","1/4/2023","BB3"
"AllianzGI High Yield Bond Institutional",9.56,300146639,"31/12/2015","Cvr Refng Llc/Coffeyville Fin 6.5%",0.71,"USA","CVR REF/COFF FIN","1/11/2022","B1"
"AllianzGI High Yield Bond Institutional",9.56,300146639,"31/12/2015","Range Res 144A 4.875%",0.69,"USA","RANGE RESOURCES","15/5/2025","BB2"
"AllianzGI High Yield Bond Institutional",9.56,300146639,"31/12/2015","Sabine Pass Liquefaction 5.75%",0.67,"USA","SABINE PASS LIQU","15/5/2024","BB2"
"AllianzGI High Yield Bond Institutional",9.56,300146639,"31/12/2015","Rice Engy 6.25%",0.65,"USA","RICE ENERGY INC","1/5/2022","B3"
"AllianzGI High Yield Bond Institutional",9.56,300146639,"31/12/2015","Concho Res 7%",0.64,"USA","CONCHO RES/MIDLA","15/1/2021","BB2"
"AllianzGI High Yield Bond Institutional",9.56,300146639,"31/12/2015","Everest Acq Llc/Finance 9.375%",0.61,"USA","EP ENER/EVEREST","1/5/2020","CCC1"
"AllianzGI High Yield Bond Institutional",9.56,300146639,"31/12/2015","Engy Transfer Equity L P 5.875%",0.52,"USA","ENERGY TRANS","15/1/2024","BB2"
"AllianzGI High Yield Bond Institutional",9.56,300146639,"31/12/2015","Tesoro Logistics Lp / 144A 6.25%",0.51,"USA","TES LOG LP/CORP","15/10/2022","BB3"
"AllianzGI High Yield Bond Institutional",9.56,300146639,"31/12/2015","Engy Xxi Gulf Coast 144A 11%",0.49,"USA","ENERGY XXI GULF","15/3/2020","CCC3"
"AllianzGI High Yield Bond Institutional",9.56,300146639,"31/12/2015","Sanchez Engy 6.125%",0.48,"USA","SANCHEZ ENERGY","15/1/2023","CCC1"
"AllianzGI High Yield Bond Institutional",9.56,300146639,"31/12/2015","Chesapeake Engy 6.625%",0.36,"USA","CHESAPEAKE ENRGY","15/8/2020","CCC2"
"AllianzGI High Yield Bond Institutional",9.56,300146639,"31/12/2015","Tesoro Logistics Lp / 6.125%",0.24,"USA","TES LOG LP/CORP","15/10/2021","BB3"
"AllianzGI High Yield Bond Institutional",9.56,300146639,"31/12/2015","Vanguard Nat Res Llc / Vnr Fin 7.875%",0.23,"USA","VANGUARD NAT RES","1/4/2020","CCC3"
"AllianzGI High Yield Bond Institutional",9.56,300146639,"31/12/2015","Breitburn Engy Partners 8.625%",0.22,"USA","BREITBURN ENERGY","15/10/2020","CCC2"
"AllianzGI High Yield Bond Institutional",9.56,300146639,"31/12/2015","Engy Xxi Gulf Coast 9.25%",0.22,"USA","ENERGY XXI GULF","15/12/2017","C"
"AllianzGI High Yield Bond Institutional",9.56,300146639,"31/12/2015","Carrizo Oil & Gas 6.25%",0.2,"USA","CARRIZO OIL&GAS","15/4/2023","B2"
"AllianzGI High Yield Bond Institutional",9.56,300146639,"31/12/2015","Linn Engy 6.5%",0.07,"USA","LINN ENERGY LLC","15/9/2021","CC"
"AllianzGI High Yield Bond Institutional",9.56,300146639,"31/12/2015","Ultra Petro 144A 6.125%",0.05,"CAN","ULTRA PETROLEUM","1/10/2024","C"
"AllianzGI Short Duration High Inc A",6.23,843761249,"31/12/2015","Amerigas Partners L P 6.25%",2.83,"USA","AMERIGAS PARTNER","20/8/2019","BB3"
"AllianzGI Short Duration High Inc A",6.23,843761249,"31/12/2015","Ngl Engy Partners 5.125%",2.54,"USA","NGL ENRGY PART/F","15/7/2019","B2"
"AllianzGI Short Duration High Inc A",6.23,843761249,"31/12/2015","Semgroup 7.5%",0.63,"USA","SEMGROUP CORP","15/6/2021","B2"
"AllianzGI Short Duration High Inc A",6.23,843761249,"31/12/2015","Crestwood Midstream Prtnrs 6%",0.23,"USA","CRESTWOOD MIDSTR","15/12/2020","B1"
"American Beacon SiM High Yld Opps A",8.14,611737888,"31/12/2015","Northern Blizzard Res 144A 7.25%",2.21,"CAN","NORTH BLIZZARD","1/2/2022","B3"
"American Beacon SiM High Yld Opps A",8.14,611737888,"31/12/2015","Meg Engy 144A 7%",1.88,"CAN","MEG ENERGY CORP","31/3/2024","B3"
"American Beacon SiM High Yld Opps A",8.14,611737888,"31/12/2015","Whiting Pete Corp New 5.75%",1.02,"USA","WHITING PETRO","15/3/2021","CCC1"
"American Beacon SiM High Yld Opps A",8.14,611737888,"31/12/2015","Ithaca Engy 144A 8.125%",0.69,"CAN","ITHACA ENERGY","1/7/2019","CCC2"
"American Beacon SiM High Yld Opps A",8.14,611737888,"31/12/2015","Teine Engy 144A 6.875%",0.57,"CAN","TEINE ENERGY LTD","30/9/2022","B3"
"American Beacon SiM High Yld Opps A",8.14,611737888,"31/12/2015","California Res 144A 8%",0.46,"USA","CALIFORNIA RESOU","15/12/2022","B3"
"American Beacon SiM High Yld Opps A",8.14,611737888,"31/12/2015","Denbury Res 5.5%",0.44,"USA","DENBURY RESOURCE","1/5/2022","CCC2"
"American Beacon SiM High Yld Opps A",8.14,611737888,"31/12/2015","Memorial Prodtn Partners 7.625%",0.42,"USA","MEM PROD PART LP","1/5/2021","CCC2"
"American Beacon SiM High Yld Opps A",8.14,611737888,"31/12/2015","Memorial Prodtn Partners 6.875%",0.35,"USA","MEM PROD PART LP","1/8/2022","CCC2"
"American Beacon SiM High Yld Opps A",8.14,611737888,"31/12/2015","California Res 5.5%",0.1,"USA","CALIFORNIA RESOU","15/9/2021","CCC2"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Martin Midstream Partners Lp / 7.25%",0.47,"USA","MRT MID PART/FIN","15/2/2021","B3"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Rockies Express Pipe 144A 5.625%",0.43,"USA","ROCKIES EXPRESS","15/4/2020","BB2"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Qep Res 5.375%",0.29,"USA","QEP RESOURCES","1/10/2022","BB3"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Sabine Pass Liquefaction 5.625%",0.29,"USA","SABINE PASS LIQU","15/4/2023","BB2"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Concho Res 5.5%",0.26,"USA","CONCHO RES/MIDLA","1/10/2022","BB2"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Ferrellgas L P / Ferrellgas 6.5%",0.26,"USA","FERRELLGAS LP","1/5/2021","B2"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Everest Acq Llc/Finance 9.375%",0.25,"USA","EP ENER/EVEREST","1/5/2020","CCC1"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Targa Res Partners / Targa Res 4.25%",0.24,"USA","TARGA RES PRTNRS","15/11/2023","BB3"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Whiting Pete Corp New 5.75%",0.24,"USA","WHITING PETRO","15/3/2021","CCC1"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Chesapeake Engy 144A 8%",0.23,"USA","CHESAPEAKE ENRGY","15/12/2022","B3"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Engy Transfer Equity L P 5.875%",0.23,"USA","ENERGY TRANS","15/1/2024","BB2"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Concho Res 5.5%",0.21,"USA","CONCHO RES/MIDLA","1/4/2023","BB2"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Suburban Propane Partners L P 5.75%",0.21,"USA","SUBURBAN PROPANE","1/3/2025","BB3"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Carrizo Oil & Gas 7.5%",0.2,"USA","CARRIZO OIL&GAS","15/9/2020","B2"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","California Res 144A 8%",0.19,"USA","CALIFORNIA RESOU","15/12/2022","B3"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Genesis Engy Lp/ Genesis Fin 5.625%",0.19,"USA","GENESIS ENERGY","15/6/2024","B1"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Sabine Pass Lng L P 6.5%",0.19,"USA","SABINE PASS LNG","1/11/2020","BB3"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Transocean 6.5%",0.19,"CYM","TRANSOCEAN INC","15/11/2020","BB2"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Williams Cos Inc Del 4.55%",0.19,"USA","WILLIAMS COS INC","24/6/2024","BB1"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Antero Res 5.125%",0.18,"USA","ANTERO RESOURCES","1/12/2022","BB3"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Oasis Pete Inc New 6.875%",0.17,"USA","OASIS PETROLEUM","15/3/2022","B2"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Weatherford Intl Ltd Bermuda 4.5%",0.16,"BMU","WEATHERFORD BERM","15/4/2022","BB1"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Amerigas Fin Corp / 6.75%",0.15,"USA","AMERIGAS FINANCE","20/5/2020","BB2"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Range Res 5%",0.14,"USA","RANGE RESOURCES","15/8/2022","BB3"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Suburban Propane Partners L P 5.5%",0.14,"USA","SUBURBAN PROPANE","1/6/2024","BB3"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Transocean 6.375%",0.14,"CYM","TRANSOCEAN INC","15/12/2021","BB2"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Transocean 2.5%",0.14,"CYM","TRANSOCEAN INC","15/10/2017","BB2"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Weatherford Intl Ltd Bermuda 5.125%",0.14,"BMU","WEATHERFORD BERM","15/9/2020","BB1"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Crestwood Midstream Prtnrs 6%",0.13,"USA","CRESTWOOD MIDSTR","15/12/2020","B1"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Hornbeck Offshore Svcs Inc New 5%",0.13,"USA","HORNBECK OFF","1/3/2021","B1"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Precision Drilling 6.5%",0.13,"CAN","PRECISION DRILL","15/12/2021","BB2"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Tesoro 4.25%",0.13,"USA","TESORO CORP","1/10/2017","BB2"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Precision Drilling 5.25%",0.12,"CAN","PRECISION DRILL","15/11/2024","BB2"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Sabine Pass Liquefaction 5.625%",0.12,"USA","SABINE PASS LIQU","1/2/2021","BB2"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Sabine Pass Liquefaction 6.25%",0.12,"USA","SABINE PASS LIQU","15/3/2022","BB2"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Tesoro Logistics Lp / 144A 5.5%",0.12,"USA","TES LOG LP/CORP","15/10/2019","BB3"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Tesoro Logistics Lp / 144A 6.25%",0.12,"USA","TES LOG LP/CORP","15/10/2022","BB3"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Ferrellgas L P / Ferrellgas 6.75%",0.11,"USA","FERRELLGAS LP","15/1/2022","B2"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Laredo Petro 6.25%",0.11,"USA","LAREDO PETROLEUM","15/3/2023","B3"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Meg Engy 144A 7%",0.11,"CAN","MEG ENERGY CORP","31/3/2024","B3"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Newfield Expl 5.75%",0.11,"USA","NEWFIELD EXPLOR","30/1/2022","BB1"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Petro Geo Svcs Asa New 144A 7.375%",0.11,"NOR","PETROLEUM GEO","15/12/2018","B2"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Sm Engy 5%",0.11,"USA","SM ENERGY CO","15/1/2024","B2"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Calumet Specialty Prods Partne 6.5%",0.1,"USA","CALUMET SPECIAL","15/4/2021","B2"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Hilcorp Engy I L P / Hilcorp 144A 5.75%",0.1,"USA","HILCORP ENERGY I","1/10/2025","BB2"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Range Res 5.75%",0.1,"USA","RANGE RESOURCES","1/6/2021","BB3"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Transocean 6%",0.1,"CYM","TRANSOCEAN INC","15/3/2018","BB2"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Weatherford Intl 9.625%",0.1,"CHE","WEATHERFORD BERM","1/3/2019","BB1"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Antero Res 144A 5.625%",0.09,"USA","ANTERO RESOURCES","1/6/2023","BB3"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Carrizo Oil & Gas 6.25%",0.09,"USA","CARRIZO OIL&GAS","15/4/2023","B2"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Genesis Engy Lp/ Genesis Fin 6.75%",0.09,"USA","GENESIS ENERGY","1/8/2022","B1"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Ngpl Pipeco 144A 7.119%",0.09,"USA","NGPL PIPECO LLC","15/12/2017","CCC3"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Wpx Engy 8.25%",0.09,"USA","WPX ENERGY INC","1/8/2023","B1"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Halcon Res 144A 8.625%",0.08,"USA","HALCON RESOURCES","1/2/2020","CCC1"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Laredo Petro 5.625%",0.08,"USA","LAREDO PETROLEUM","15/1/2022","B3"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Ferrellgas L P / Ferrellgas 144A 6.75%",0.07,"USA","FERRELLGAS LP","15/6/2023","B2"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Meg Engy 144A 6.5%",0.07,"CAN","MEG ENERGY CORP","15/3/2021","B3"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Pbf Hldg Co Llc / Pbf Fin 8.25%",0.07,"USA","PBF HOLDING CO","15/2/2020","BB2"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Pacific Drilling S A 144A 5.375%",0.07,"LUX","PACIFIC DRILLING","1/6/2020","CCC1"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Fts Intl 6.25%",0.06,"USA","FTS INTL INC","1/5/2022","CCC2"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Ngpl Pipeco 144A 9.625%",0.06,"USA","NGPL PIPECO LLC","1/6/2019","CCC3"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Nustar Logistics L P 4.75%",0.06,"USA","NUSTAR LOGISTICS","1/2/2022","BB1"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Sanchez Engy 6.125%",0.06,"USA","SANCHEZ ENERGY","15/1/2023","CCC1"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Targa Res Partners / Targa Res 6.375%",0.06,"USA","TARGA RES PRTNRS","1/8/2022","BB3"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Comstock Res 144A 10%",0.05,"USA","COMSTOCK RES INC","15/3/2020","B3"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Crestwood Midstream Prtnrs 144A 6.25%",0.05,"USA","CRESTWOOD MIDSTR","1/4/2023","B1"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Rice Engy 6.25%",0.05,"USA","RICE ENERGY INC","1/5/2022","B3"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Sm Engy 6.5%",0.05,"USA","SM ENERGY CO","1/1/2023","B2"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Whiting Pete Corp New 5%",0.05,"USA","WHITING PETRO","15/3/2019","CCC1"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Wpx Engy 6%",0.05,"USA","WPX ENERGY INC","15/1/2022","B1"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Cgg Veritas 6.5%",0.04,"FRA","CGG","1/6/2021","CCC1"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Everest Acq Llc/Finance 6.375%",0.04,"USA","EP ENER/EVEREST","15/6/2023","CCC1"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Halcon Res 144A 12%",0.04,"USA","HALCON RESOURCES","15/2/2022","CCC1"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Denbury Res 5.5%",0.03,"USA","DENBURY RESOURCE","1/5/2022","CCC2"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Denbury Res Inc Del 4.625%",0.03,"USA","DENBURY RESOURCE","15/7/2023","CCC2"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Linn Engy 8.625%",0.03,"USA","LINN ENERGY LLC","15/4/2020","CC"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Linn Engy 6.5%",0.03,"USA","LINN ENERGY LLC","15/5/2019","CC"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Sandridge Engy 144A 8.75%",0.03,"USA","SANDRIDGE ENERGY","1/6/2020","CCC3"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Basic Engy Svcs Inc New 7.75%",0.02,"USA","BASIC ENERGY SVC","15/2/2019","CCC1"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","California Res 5.5%",0.02,"USA","CALIFORNIA RESOU","15/9/2021","CCC2"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","California Res 0.12%",0.02,"USA","CALIFORNIA RESOU","15/11/2024","CCC2"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Everest Acq Llc/Finance 7.75%",0.02,"USA","EP ENER/EVEREST","1/9/2022","CCC1"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Engy Xxi Gulf Coast 9.25%",0.02,"USA","ENERGY XXI GULF","15/12/2017","C"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Engy Xxi Gulf Coast 7.75%",0.02,"USA","ENERGY XXI GULF","15/6/2019","C"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Engy Xxi Gulf Coast 6.875%",0.02,"USA","ENERGY XXI GULF","15/3/2024","C"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Linn Engy 6.5%",0.02,"USA","LINN ENERGY LLC","15/9/2021","CC"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Penn Va 8.5%",0.02,"USA","PENN VIRGINIA CO","1/5/2020","CC"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Qep Res 5.25%",0.02,"USA","QEP RESOURCES","1/5/2023","BB3"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Sandridge Engy 7.5%",0.02,"USA","SANDRIDGE ENERGY","15/3/2021","C"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Tesoro 5.375%",0.02,"USA","TESORO CORP","1/10/2022","BB2"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Breitburn Engy Partners 7.875%",0.01,"USA","BREITBURN ENERGY","15/4/2022","CCC2"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Chaparral Engy 7.625%",0.01,"USA","CHAPARRAL ENERGY","15/11/2022","CC"
"American Century High-Yield Inv",10.43,782644545,"31/12/2015","Pacific Drilling V Ltd. 144A 7.25%",0.01,"VGB","PACIFIC DRILLING","1/12/2017","CCC1"
"American Funds American High-Inc A",7.54,15305680105,"31/12/2015","Ngpl Pipeco 144A 7.119%",0.93,"USA","NGPL PIPECO LLC","15/12/2017","CCC3"
"American Funds American High-Inc A",7.54,15305680105,"31/12/2015","Pdc Engy 7.75%",0.7,"USA","PDC ENERGY INC","15/10/2022","B2"
"American Funds American High-Inc A",7.54,15305680105,"31/12/2015","Ngpl Pipeco 144A 9.625%",0.64,"USA","NGPL PIPECO LLC","1/6/2019","CCC3"
"American Funds American High-Inc A",7.54,15305680105,"31/12/2015","Sabine Pass Liquefaction 5.625%",0.52,"USA","SABINE PASS LIQU","1/2/2021","BB2"
"American Funds American High-Inc A",7.54,15305680105,"31/12/2015","Ngl Engy Partners 6.875%",0.32,"USA","NGL ENRGY PART/F","15/10/2021","B2"
"American Funds American High-Inc A",7.54,15305680105,"31/12/2015","Sabine Pass Liquefaction 5.75%",0.29,"USA","SABINE PASS LIQU","15/5/2024","BB2"
"American Funds American High-Inc A",7.54,15305680105,"31/12/2015","Blue Racer Midstream Llc/ Bl 144A 6.125%",0.25,"USA","BLUE RACER MID/F","15/11/2022","B3"
"American Funds American High-Inc A",7.54,15305680105,"31/12/2015","Rice Engy 6.25%",0.24,"USA","RICE ENERGY INC","1/5/2022","B3"
"American Funds American High-Inc A",7.54,15305680105,"31/12/2015","Jupiter Resources 144A 8.5%",0.23,"CAN","JUPITER RES INC","1/10/2022","CCC2"
"American Funds American High-Inc A",7.54,15305680105,"31/12/2015","Everest Acq Llc/Finance 9.375%",0.22,"USA","EP ENER/EVEREST","1/5/2020","CCC1"
"American Funds American High-Inc A",7.54,15305680105,"31/12/2015","Amer Engy 144A 7.125%",0.2,"USA","AMER ENERGY/AEPB","1/11/2020","CC"
"American Funds American High-Inc A",7.54,15305680105,"31/12/2015","Sm Engy 5.625%",0.18,"USA","SM ENERGY CO","1/6/2025","B2"
