"","Fund_Name","WiP","weightedOAS","portfolioVal","chartName"
"42","AmericaFirst Quantitative Strategies A",0.6,11309,42187838,"AmericaFirst
Quantitative
Strategies
A"
"43","American Beacon Crsnt ShrtDurHiInc A",2.09,3553.23923444976,50984682,"American
Beacon
Crsnt
ShrtDurHiInc
A"
"44","American Beacon Flexible Bond A",0.55,469.363636363636,178669032,"American
Beacon
Flexible
Bond
A"
"45","American Beacon SiM High Yld Opps A",8.14,2136.05036855037,611737888,"American
Beacon
SiM
High
Yld
Opps
A"
"46","American Century Balanced Inv",0.24,1017.75,841289307,"American
Century
Balanced
Inv"
"47","American Century Core Plus A",0.9,1005.94444444444,150669140,"American
Century
Core
Plus
A"
"48","American Century Diversified Bond Instl",0.55,903.527272727273,5376389868,"American
Century
Diversified
Bond
Instl"
"49","American Century Global Bond A",0.48,918.020833333333,1066783479,"American
Century
Global
Bond
A"
"50","American Century High-Yield Inv",10.43,1721.41035474593,782644545,"American
Century
High-Yield
Inv"
"51","American Century International Bd Inv",0.34,652.529411764706,796083290,"American
Century
International
Bd
Inv"
"52","American Century Multi-Asset Inc A",0.06,707,16104396,"American
Century
Multi-Asset
Inc
A"
"53","American Century NT Diversified Bd Instl",0.51,893.411764705882,2869919282,"American
Century
NT
Diversified
Bd
Instl"
"54","American Century Short Dur Inf PrBd A",0.09,1748.44444444444,1382250833,"American
Century
Short
Dur
Inf
PrBd
A"
"55","American Century Short Dur Strt Inc A",3.11,2887.85852090032,22418075,"American
Century
Short
Dur
Strt
Inc
A"
"56","American Century Short Duration A",0.59,523.610169491525,436089071,"American
Century
Short
Duration
A"
"57","American Century Strat Allc: Agrsv Inv",0.63,1178.80952380952,1032689806,"American
Century
Strat
Allc:
Agrsv
Inv"
"58","American Century Strat Allc: Cnsrv Inv",0.06,626,556852456,"American
Century
Strat
Allc:
Cnsrv
Inv"
"59","American Century Strat Allc: Mod Inv",0.42,1018.47619047619,1591508244,"American
Century
Strat
Allc:
Mod
Inv"
"60","American Century Strat Infl Opps A",0.33,1588.81818181818,31446789,"American
Century
Strat
Infl
Opps
A"
"61","American Century Strategic Income A",2.51,1876.09960159363,6096255,"American
Century
Strategic
Income
A"
"62","American Funds American Balanced A",0.04,1003,82500161423,"American
Funds
American
Balanced
A"
"63","American Funds American High-Inc A",7.54,1501.18037135279,15305680105,"American
Funds
American
High-Inc
A"
"64","American Funds Bond Fund of Amer A",0.23,951.608695652174,30694216712,"American
Funds
Bond
Fund
of
Amer
A"
"65","American Funds Capital Income Bldr A",0.08,767.5,90422692967,"American
Funds
Capital
Income
Bldr
A"
"66","American Funds Capital World Bond A",0.42,1225.92857142857,12432361146,"American
Funds
Capital
World
Bond
A"
"67","American Funds Global Balanced 529A",0.03,1414,8539992836,"American
Funds
Global
Balanced
529A"
"68","American Funds Income Fund of Amer A",0.68,1263.17647058824,89481000490,"American
Funds
Income
Fund
of
Amer
A"
"69","American Funds SMALLCAP World A",0.02,3339,25091716363,"American
Funds
SMALLCAP
World
A"
"70","AMG Managers Bond Service",0.56,746.232142857143,2436840222,"AMG
Managers
Bond
Service"
"71","AMG Managers Global Income Opportunity",0.82,2214.09756097561,40344017,"AMG
Managers
Global
Income
Opportunity"
"72","AMG Managers High Yield Investor",5.8,2477.2275862069,27397282,"AMG
Managers
High
Yield
Investor"
"73","Anfield Universal Fixed Income A",2.28,2109.65350877193,56591020,"Anfield
Universal
Fixed
Income
A"
"74","API Efficient Frontier Core Income A",2.8,3886.57857142857,25186584,"API
Efficient
Frontier
Core
Income
A"
"75","API Efficient Frontier Income A",0.13,10278,704855644,"API
Efficient
Frontier
Income
A"
"76","Aquila Three Peaks High Income A",0,NA,181663501,"Aquila
Three
Peaks
High
Income
A"
"77","Arbitrage Credit Opportunities C",1.01,448.584158415842,64310790,"Arbitrage
Credit
Opportunities
C"
"78","Archer Balanced",1.2,1032.6,27000681,"Archer
Balanced"
"79","Archer Income",2.02,1934.32673267327,10175359,"Archer
Income"
"80","Arden Alternative Strategies I",0.21,878,915754023,"Arden
Alternative
Strategies
I"
"81","Aristotle Strategic Credit",4.53,1574.98233995585,8304592,"Aristotle
Strategic
Credit"
"82","Artisan High Income Advisor",6.82,1822.41935483871,961768369,"Artisan
High
Income
Advisor"
"83","ASTON/DoubleLine Core Plus Fxd Inc I",0.15,5791.46666666667,613132931,"ASTON/DoubleLine
Core
Plus
Fxd
Inc
I"
"84","ASTON/TCH Fixed Income N",0.29,1352,44879836,"ASTON/TCH
Fixed
Income
N"
"85","AT Income Opportunities Institutional",2.42,1857.04545454545,208644509,"AT
Income
Opportunities
Institutional"
"86","Aurora Horizons A",0.72,1065.66666666667,78894247,"Aurora
Horizons
A"
"87","Avenue Credit Strategies Institutional",3,7235.9,1641108971,"Avenue
Credit
Strategies
Institutional"
"88","AXA/DoubleLine Oppc Cor Pls Bd IB",0.2,5431.7,60074993,"AXA/DoubleLine
Oppc
Cor
Pls
Bd
IB"
"89","AXA/Franklin Balanced Managed Vol IA",1.31,3817.45801526718,1268297555,"AXA/Franklin
Balanced
Managed
Vol
IA"
"90","AXA/Franklin Small Cap Val Mgd Vol IA",0.28,2438,269757419,"AXA/Franklin
Small
Cap
Val
Mgd
Vol
IA"
"91","AXA/Mutual Large Cap Equity Mgd Vol IA",0.16,1024,630819948,"AXA/Mutual
Large
Cap
Equity
Mgd
Vol
IA"
"92","Babson Active Short Duration Bond A",0.24,1778.70833333333,115465588,"Babson
Active
Short
Duration
Bond
A"
"93","Babson Global Credit Income Opps A",2.47,1563.12550607287,79851371,"Babson
Global
Credit
Income
Opps
A"
"94","Babson Global Floating Rate A",0.26,471,164945940,"Babson
Global
Floating
Rate
A"
"95","Babson Global High Yield A",6.68,1441.52395209581,23948170,"Babson
Global
High
Yield
A"
"96","Babson Total Return Bond A",0.6,657.85,28887957,"Babson
Total
Return
Bond
A"
"97","Babson US High Yield A",6.84,1409.49561403509,26030449,"Babson
US
High
Yield
A"
"98","Baird Aggregate Bond Inst",0.29,1080.1724137931,6798199613,"Baird
Aggregate
Bond
Inst"
"99","Baird Core Plus Bond Inst",0.97,1105.45360824742,9285371181,"Baird
Core
Plus
Bond
Inst"
"100","Baird Intermediate Bond Inst",0.34,1041.5,1876500433,"Baird
Intermediate
Bond
Inst"
"101","Baird Short-Term Bond Inst",0.55,929.181818181818,2992204216,"Baird
Short-Term
Bond
Inst"
"102","Bernstein Intermediate Duration",0.33,999.151515151515,3332772144,"Bernstein
Intermediate
Duration"
"103","Bernstein Intermediate Duration Instl",0.21,1187.85714285714,629593495,"Bernstein
Intermediate
Duration
Instl"
"104","Bishop Street High Grade Inc Instl",0.64,1011,71720490,"Bishop
Street
High
Grade
Inc
Instl"
"105","BlackRock Allocation Target Shrs Ser C",0.45,802.377777777778,341030099,"BlackRock
Allocation
Target
Shrs
Ser
C"
"106","BlackRock Core Bond Instl",0.05,737.4,3145441572,"BlackRock
Core
Bond
Instl"
"107","BlackRock CoreAlpha Bond Master Port",NA,788,NA,"BlackRock
CoreAlpha
Bond
Master
Port"
"108","BlackRock CoRI 2015 Investor A",0.1,796.3,10940321,"BlackRock
CoRI
2015
Investor
A"
"109","BlackRock CoRI 2017 Investor A",0.11,787.545454545455,10973433,"BlackRock
CoRI
2017
Investor
A"
"110","BlackRock CoRI 2019 Investor A",0.14,784.071428571428,11684436,"BlackRock
CoRI
2019
Investor
A"
"111","BlackRock CoRI 2021 Investor A",0.17,788.117647058824,11429460,"BlackRock
CoRI
2021
Investor
A"
"112","BlackRock CoRI 2023 Investor A",0.2,769.55,11822277,"BlackRock
CoRI
2023
Investor
A"
"113","BlackRock Dynamic High Income Inv A",0.18,700,213832827,"BlackRock
Dynamic
High
Income
Inv
A"
"114","BlackRock Floating Rate Income Inv A",0.04,1710,2500757107,"BlackRock
Floating
Rate
Income
Inv
A"
"115","BlackRock Global Allocation Inv B",0.04,487,52485057312,"BlackRock
Global
Allocation
Inv
B"
"116","BlackRock Global Long/Short Credit Inv A",0.63,584.555555555556,5033384177,"BlackRock
Global
Long/Short
Credit
Inv
A"
"117","BlackRock High Yield Bond Inv A",5.6,1288.94821428571,15089687353,"BlackRock
High
Yield
Bond
Inv
A"
"118","BlackRock Investment Grade Bond Inv A",0.93,746.311827956989,81453825,"BlackRock
Investment
Grade
Bond
Inv
A"
"119","BlackRock Master Total Return Portfolio",NA,1052.84210526316,NA,"BlackRock
Master
Total
Return
Portfolio"
"120","BlackRock MIP US Total Bond Index Master",NA,915.777777777778,NA,"BlackRock
MIP
US
Total
Bond
Index
Master"
"121","BlackRock Multi-Asset Income Investor A",0.52,1381.57692307692,11894607085,"BlackRock
Multi-Asset
Income
Investor
A"
"122","BlackRock Multi-Manager Alt Strats Inv A",1.31,1466.90076335878,92527162,"BlackRock
Multi-Manager
Alt
Strats
Inv
A"
"123","BlackRock Secured Credit Portfolio Inv A",1.35,988.362962962963,349524079,"BlackRock
Secured
Credit
Portfolio
Inv
A"
"124","BlackRock Strategic Global Bond Instl",0.03,914,109650390,"BlackRock
Strategic
Global
Bond
Instl"
"125","BlackRock Strategic Income Opps Inv A",0.12,925.583333333333,29985538983,"BlackRock
Strategic
Income
Opps
Inv
A"
"126","BMO Monegy High Yield Bond I",7.75,1047.90580645161,68130194,"BMO
Monegy
High
Yield
Bond
I"
"127","BMO TCH Core Plus Bond I",0.66,2661.0303030303,953562344,"BMO
TCH
Core
Plus
Bond
I"
"128","BMO TCH Corporate Income I",1.11,2184.54054054054,205333452,"BMO
TCH
Corporate
Income
I"
"129","BMO TCH Intermediate Income I",1.34,1585,89139422,"BMO
TCH
Intermediate
Income
I"
"130","BNY Mellon Asset Allocation M",0.03,1135,434507157,"BNY
Mellon
Asset
Allocation
M"
"131","BNY Mellon Bond M",0.2,1135,1000879915,"BNY
Mellon
Bond
M"
"132","BNY Mellon Corporate Bond Investor",0.76,1104.73684210526,736343722,"BNY
Mellon
Corporate
Bond
Investor"
"133","BNY Mellon Intermediate Bond M",0.2,1135,863221465,"BNY
Mellon
Intermediate
Bond
M"
"134","Brandes Core Plus Fixed Income I",1.39,3267.55395683453,72589871,"Brandes
Core
Plus
Fixed
Income
I"
"135","Brandes Credit Focus Yield I",2.14,3112.83177570093,27575635,"Brandes
Credit
Focus
Yield
I"
"136","Brandes Global Opportunities Value A",0.67,4670,7163591,"Brandes
Global
Opportunities
Value
A"
"137","Brandes Separately Managed Acct Res Tr",3.17,3080.15141955836,144420436,"Brandes
Separately
Managed
Acct
Res
Tr"
"138","Bridge Builder Core Bond",0.12,847.75,10748019741,"Bridge
Builder
Core
Bond"
"139","Bridge Builder Core Plus Bond",0.5,1360.76,2250016337,"Bridge
Builder
Core
Plus
Bond"
"140","Brookfield Real Assets Securities A",6.33,1964.19115323855,50935390,"Brookfield
Real
Assets
Securities
A"
"141","Bruce",1.4,7237.25,551600421,"Bruce"
"142","Buffalo Flexible Income",2.23,1296.37219730942,1014315182,"Buffalo
Flexible
Income"
"143","Buffalo High-Yield",4.34,965.942396313364,263186307,"Buffalo
High-Yield"
"144","Calamos Global Convertible A",0.06,777,76521405,"Calamos
Global
Convertible
A"
"145","Calamos High Income A",9.77,2563.50665301945,78620097,"Calamos
High
Income
A"
"146","Calamos Market Neutral Income A",0.11,2965.54545454545,2851227588,"Calamos
Market
Neutral
Income
A"
"147","Calamos Total Return Bond A",0.46,687,89552490,"Calamos
Total
Return
Bond
A"
"148","Calvert Balanced A",0.01,1072,624046637,"Calvert
Balanced
A"
"149","Calvert High Yield Bond I",2.53,2239.05138339921,135008238,"Calvert
High
Yield
Bond
I"
"150","Calvert Short Duration Income A",0,NA,1423885929,"Calvert
Short
Duration
Income
A"
"151","Calvert Unconstrained Bond A",0.64,1072,58877403,"Calvert
Unconstrained
Bond
A"
"152","Catalyst Insider Income A",3.68,2900.35326086957,809566,"Catalyst
Insider
Income
A"
"153","Catalyst/Princeton Floating Rt Inc A",2.29,736.493449781659,34097283,"Catalyst/Princeton
Floating
Rt
Inc
A"
"154","Catalyst/Princeton Hedged Income A",6.74,3121.96735905045,857121,"Catalyst/Princeton
Hedged
Income
A"
"155","Catalyst/SMH High Income A",15.44,6184.47797927461,21293014,"Catalyst/SMH
High
Income
A"
"156","Catalyst/SMH Total Return Income A",11,8319.36363636364,18000643,"Catalyst/SMH
Total
Return
Income
A"
"157","Cavanal Hill Opportunistic A",2.07,1341,42773541,"Cavanal
Hill
Opportunistic
A"
"158","Cavanal Hill World Energy A",3.99,731.228070175439,45304967,"Cavanal
Hill
World
Energy
A"
"159","Cedar Ridge Unconstrained Credit Instl",1.86,7663.47311827957,50071825,"Cedar
Ridge
Unconstrained
Credit
Instl"
"160","Chartwell Short Duration High Yield I",7.89,1735.29911280101,20898785,"Chartwell
Short
Duration
High
Yield
I"
"161","Chou Income",2.77,8886,14865256,"Chou
Income"
"162","Cincinnati AMFs Broad Market Strat Inc",4.74,847.483122362869,6266549,"Cincinnati
AMFs
Broad
Market
Strat
Inc"
"163","City National Rochdale Corp Bond Svc",0.71,1689,134829699,"City
National
Rochdale
Corp
Bond
Svc"
"164","City National Rochdale Fxd Inc Opps N",2.07,1963.16425120773,1610750490,"City
National
Rochdale
Fxd
Inc
Opps
N"
"165","City National Rochdale Hi-Yld Bond N",13.74,3832.27729257642,85967042,"City
National
Rochdale
Hi-Yld
Bond
N"
"166","City National Rochdale Interm Fxd Inc N",0.79,1034.43037974684,264636020,"City
National
Rochdale
Interm
Fxd
Inc
N"
"167","CM Advisors Fixed Income",3.91,1106.16879795396,83597070,"CM
Advisors
Fixed
Income"
"168","Columbia Balanced Z",0.17,710.647058823529,4098718671,"Columbia
Balanced
Z"
"169","Columbia Bond Z",0.16,689.3125,610531841,"Columbia
Bond
Z"
"170","Columbia Corporate Income Z",3.71,710.11590296496,1228763361,"Columbia
Corporate
Income
Z"
"171","Columbia Diversified Absolute Return A",0.03,547,127583577,"Columbia
Diversified
Absolute
Return
A"
"172","Columbia Emerging Markets Bond A",0.99,1143,423506662,"Columbia
Emerging
Markets
Bond
A"
"173","Columbia Flexible Capital Income A",3.43,1791.60058309038,463836777,"Columbia
Flexible
Capital
Income
A"
"174","Columbia Floating Rate A",0.04,19368,866573640,"Columbia
Floating
Rate
A"
"175","Columbia Global Bond A",0.96,910.5625,83481644,"Columbia
Global
Bond
A"
"176","Columbia Global Opportunities A",0.36,778.472222222222,642598877,"Columbia
Global
Opportunities
A"
"177","Columbia Global Unconstrained Bond A",0.48,549.375,22590951,"Columbia
Global
Unconstrained
Bond
A"
"178","Columbia High Yield Bond A",8.35,914.323353293413,1773218851,"Columbia
High
Yield
Bond
A"
"179","Columbia Income Opportunities A",9.14,915.794310722101,2588821639,"Columbia
Income
Opportunities
A"
"180","Columbia Infl Protected Secs A",0.57,1094.05263157895,165708768,"Columbia
Infl
Protected
Secs
A"
"181","Columbia Intermediate Bond Z",NA,796.238532110092,NA,"Columbia
Intermediate
Bond
Z"
"182","Columbia Limited Duration Credit A",5.33,785.294559099437,963312519,"Columbia
Limited
Duration
Credit
A"
"183","Columbia Multi-Asset Income A",1.72,794,86237797,"Columbia
Multi-Asset
Income
A"
"184","Columbia Short Term Bond Z",0.22,2354,1945401760,"Columbia
Short
Term
Bond
Z"
"185","Columbia Strategic Income A",2.69,837.078066914498,2506143023,"Columbia
Strategic
Income
A"
"186","Commerce Bond",0.71,973.87323943662,974709747,"Commerce
Bond"
"187","Consulting Group Core Fixed-Income",0.32,1435.0625,627314065,"Consulting
Group
Core
Fixed-Income"
"188","Consulting Group High Yld Investments",12.88,2360.55201863354,244183599,"Consulting
Group
High
Yld
Investments"
"189","CornerCap Balanced",0.35,4670,23867541,"CornerCap
Balanced"
"190","Cornerstone Advisors Income Opps Instl",1.77,2129.46327683616,141974627,"Cornerstone
Advisors
Income
Opps
Instl"
"191","Cornerstone Advisors Real Assets Instl",0.03,25081.3333333333,144754608,"Cornerstone
Advisors
Real
Assets
Instl"
"192","Credit Suisse Floating Rate Hi Inc A",1.4,1709.57142857143,2370324127,"Credit
Suisse
Floating
Rate
Hi
Inc
A"
"193","Credit Suisse Strategic Income A",5.67,2495.46737213404,68100560,"Credit
Suisse
Strategic
Income
A"
"194","Croft Income",1.34,3591,12681185,"Croft
Income"
"195","Davis Appreciation & Income A",1.23,1283,307324985,"Davis
Appreciation
&
Income
A"
"196","DDJ Opportunistic High Yield II",2.53,2188.93675889328,8005963,"DDJ
Opportunistic
High
Yield
II"
"197","Delaware Core Plus Bond A",0.26,710.538461538462,131769775,"Delaware
Core
Plus
Bond
A"
"198","Delaware Corporate Bond A",0.76,712.026315789474,1179805528,"Delaware
Corporate
Bond
A"
"199","Delaware Diversified Floating Rate A",0.02,729,363153068,"Delaware
Diversified
Floating
Rate
A"
"200","Delaware Diversified Income A",0.35,705.857142857143,5113163754,"Delaware
Diversified
Income
A"
"201","Delaware Dividend Income A",0.4,1271.575,685192763,"Delaware
Dividend
Income
A"
"202","Delaware Extended Duration Bond A",0.62,716.41935483871,580773581,"Delaware
Extended
Duration
Bond
A"
"203","Delaware Foundation Cnsrv Allc A",0.19,639.315789473684,90779937,"Delaware
Foundation
Cnsrv
Allc
A"
"204","Delaware Foundation Moderate Allc A",0.15,664.2,267292961,"Delaware
Foundation
Moderate
Allc
A"
"205","Delaware Foundation® Growth Allc A",0.08,626.25,69362681,"Delaware
Foundation®
Growth
Allc
A"
"206","Delaware High-Yield Opportunities A",3.41,1139.48387096774,342258335,"Delaware
High-Yield
Opportunities
A"
"207","Delaware Limited-Term Diversified Inc A",0,NA,1029685543,"Delaware
Limited-Term
Diversified
Inc
A"
"208","Delaware Pooled Core Plus Fixed Income",0.17,718.411764705882,131766384,"Delaware
Pooled
Core
Plus
Fixed
Income"
"209","Delaware Pooled High-Yield Bond",2.77,1086.72202166065,218652467,"Delaware
Pooled
High-Yield
Bond"
"210","Destra Flaherty & Crumrine Pref & Inc A",2.63,699,92393986,"Destra
Flaherty
&
Crumrine
Pref
&
Inc
A"
"211","Deutsche Core Fixed Income Institutional",0.25,1414,145560896,"Deutsche
Core
Fixed
Income
Institutional"
"212","Deutsche Core Plus Income S",0,NA,254976390,"Deutsche
Core
Plus
Income
S"
"213","Deutsche Enhanced Global Bond S",2.18,1109.90366972477,80518292,"Deutsche
Enhanced
Global
Bond
S"
"214","Deutsche Floating Rate A",0.06,532,1354095060,"Deutsche
Floating
Rate
A"
"215","Deutsche Global High Income Instl",6.1,963.139344262295,305573232,"Deutsche
Global
High
Income
Instl"
"216","Deutsche Global Income Builder A",0.82,1062.4756097561,799170951,"Deutsche
Global
Income
Builder
A"
"217","Deutsche High Income A",8.06,1044.7841191067,954170465,"Deutsche
High
Income
A"
"218","Deutsche Short Duration S",0,NA,1151740620,"Deutsche
Short
Duration
S"
"219","Deutsche Ultra-Short Duration Instl",1.2,1757.975,317496262,"Deutsche
Ultra-Short
Duration
Instl"
"220","Deutsche Unconstrained Income A",2.72,1171.36397058824,496999410,"Deutsche
Unconstrained
Income
A"
"221","Deutsche US Bond Index Institutional",0.03,939,99036306,"Deutsche
US
Bond
Index
Institutional"
"222","DFA Intermediate-Term Extnd Qlty I",0.17,694.058823529412,1106503340,"DFA
Intermediate-Term
Extnd
Qlty
I"
"223","DFA Investment Grade I",0.12,664.333333333333,4457763733,"DFA
Investment
Grade
I"
"224","DFA Selectively Hedged Global F/I I",0.48,583,1236563624,"DFA
Selectively
Hedged
Global
F/I
I"
"225","DFA Short-Duration Real Return Instl",0.46,767.04347826087,741692769,"DFA
Short-Duration
Real
Return
Instl"
"226","DFA Short-Term Extended Quality I",0.41,595.146341463415,3961808799,"DFA
Short-Term
Extended
Quality
I"
"227","DFA Targeted Credit Institutional",0.76,851.657894736842,240236187,"DFA
Targeted
Credit
Institutional"
"228","Diamond Hill High Yield A",9.07,1251.67034178611,12330821,"Diamond
Hill
High
Yield
A"
"229","Diamond Hill Research Opportunities A",0.51,2354,49315578,"Diamond
Hill
Research
Opportunities
A"
"230","Diamond Hill Strategic Income A",NA,1225.95639943741,NA,"Diamond
Hill
Strategic
Income
A"
"231","Disciplined Growth Investors",0.29,659,115891465,"Disciplined
Growth
Investors"
"232","Dodge & Cox Global Bond",1.56,485,67477124,"Dodge
&
Cox
Global
Bond"
"233","DoubleLine Core Fixed Income I",0.14,6162.78571428571,5448511169,"DoubleLine
Core
Fixed
Income
I"
"234","DoubleLine Flexible Income I",0.27,3009.85185185185,202722031,"DoubleLine
Flexible
Income
I"
"235","Dreyfus Balanced Opportunity J",0.06,755,256379180,"Dreyfus
Balanced
Opportunity
J"
"236","Dreyfus Bond Market Index Basic",0.09,780.444444444444,2687719515,"Dreyfus
Bond
Market
Index
Basic"
"237","Dreyfus Floating Rate Income A",0.36,850,452851980,"Dreyfus
Floating
Rate
Income
A"
"238","Dreyfus High Yld A",7.83,1505.73818646232,979603492,"Dreyfus
High
Yld
A"
"239","Dreyfus Intermediate Term Income A",1.45,1221.90344827586,969962571,"Dreyfus
Intermediate
Term
Income
A"
"240","Dreyfus International Bond A",0.74,1040.21621621622,1108253345,"Dreyfus
International
Bond
A"
"241","Dreyfus Opportunistic Fixed Income A",3.44,1856.72965116279,704461923,"Dreyfus
Opportunistic
Fixed
Income
A"
"242","Dreyfus Short Duration Bond Z",0.16,2438,125016464,"Dreyfus
Short
Duration
Bond
Z"
"243","Dreyfus Short Term Income D",0.48,1112.58333333333,221003422,"Dreyfus
Short
Term
Income
D"
"244","Dreyfus Tax Sensitive Total Return Bd I",0.36,918,219860990,"Dreyfus
Tax
Sensitive
Total
Return
Bd
I"
"245","Dreyfus/Standish Global Fixed Income I",0.32,1009.75,2128114330,"Dreyfus/Standish
Global
Fixed
Income
I"
"246","Driehaus Active Income",6.97,1111.85365853659,2731215926,"Driehaus
Active
Income"
"247","Driehaus Select Credit",7.51,2306.76165113182,261925135,"Driehaus
Select
Credit"
"248","Dunham Corporate/Government Bond C",2.02,900.113861386139,51725402,"Dunham
Corporate/Government
Bond
C"
"249","Dunham Floating Rate Bond A",0.08,3306,88995629,"Dunham
Floating
Rate
Bond
A"
"250","Dunham High-Yield Bond C",9.71,996.356333676622,90476164,"Dunham
High-Yield
Bond
C"
"251","Eaton Vance Balanced A",0.07,378,519812403,"Eaton
Vance
Balanced
A"
"252","Eaton Vance Bond A",0.6,5701,773846694,"Eaton
Vance
Bond
A"
"253","Eaton Vance Bond II A",2.17,3194.10599078341,17893884,"Eaton
Vance
Bond
II
A"
"254","Eaton Vance Core Bond I",0.19,378,353132179,"Eaton
Vance
Core
Bond
I"
"255","Eaton Vance Core Plus Bond A",1.46,2734,31325358,"Eaton
Vance
Core
Plus
Bond
A"
"256","Eaton Vance Floating Rate I",0.15,870.866666666667,8646306658,"Eaton
Vance
Floating
Rate
I"
"257","Eaton Vance Floating-Rate & Hi Inc B",1.97,904.284263959391,1299451074,"Eaton
Vance
Floating-Rate
&
Hi
Inc
B"
"258","Eaton Vance Floating-Rate Advantage B",0.13,1078.30769230769,6312746095,"Eaton
Vance
Floating-Rate
Advantage
B"
"259","Eaton Vance Global Income Builder A",1.36,628.786764705882,395850332,"Eaton
Vance
Global
Income
Builder
A"
"260","Eaton Vance High Income Opportunities B",9.27,945.61380798274,1248879762,"Eaton
Vance
High
Income
Opportunities
B"
